,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,9.361441358561808e-05,0.00967545417981079,0.008147776411383754,2.54087208033979,-0.835231512042695
1,-2,0.00011409374194145855,0.010681467218573418,0.009153187475895195,2.9539243453557353,-1.2367114477123664
2,-3,0.00011916997648637307,0.010916500194035315,0.009230751702318562,3.0683403661056916,-1.3362267386010553
3,-4,0.00011668307802610215,0.010801994168953348,0.009227748703487002,3.1621635800594885,-1.2874731947104507
4,-5,0.00011617358509126844,0.010778385087352764,0.009316650699339145,3.3254507699218476,-1.2774850160384266
5,-6,0.00012114272437516212,0.011006485559667179,0.009498499895182854,3.4744989085890823,-1.3749007947869671
