,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,4.383581923380049e-05,0.0066208624237179626,0.00502818567896537,1.6298052126102447,0.14063578745274286
1,-2,5.3759298551341816e-05,0.007332073277821343,0.0056929063251150835,1.7549682492189504,-0.053905643242643686
2,-3,6.085548003252863e-05,0.007800992246665076,0.006141115879494386,1.7474184215114945,-0.193020287779055
3,-4,6.544793150736445e-05,0.008089989586356984,0.0064521395554972055,1.720354993419926,-0.283051420179808
4,-5,6.864016777773354e-05,0.008284936196358637,0.006636702950571604,1.6769346221350432,-0.3456325161123155
5,-6,7.093221779979894e-05,0.00842212667915883,0.006763215868937053,1.6228217307941712,-0.39056622093999627
