,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,2.7768804474115222e-05,0.005269611415855558,0.004041243714244534,1.3037775702967083,0.45561604168957026
1,-2,3.187815441241365e-05,0.005646074247865826,0.004264365967350653,1.5538549608734074,0.37505570688729595
2,-3,3.8780749083821744e-05,0.006227419135068857,0.004594188581955458,1.540305615364765,0.23973616825406685
3,-4,4.5945766481054646e-05,0.006778330655925148,0.005159736424225852,1.5080434640623581,0.09927205372207026
4,-5,5.014339806873685e-05,0.007081200326832793,0.005405669256204201,1.6760546008410655,0.016981031745902042
5,-6,5.330957108428819e-05,0.007301340362172427,0.005615052444172805,1.5002068811083191,-0.0450891160888085
