,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,3.308842641667844e-05,0.005752254029220062,0.004780272560668992,1.4479940524247055,0.3513293464338556
1,-2,3.714962127256087e-05,0.006095048914697967,0.004982154501211954,1.594311582650174,0.2717130513507856
2,-3,4.5121369186600166e-05,0.006717244166069904,0.005097916317944304,1.1719022819580807,0.11543366639768549
3,-4,4.7201576022784244e-05,0.006870340313462227,0.005199915462939031,1.271889587013252,0.07465296830742718
4,-5,4.6059746045803864e-05,0.006786733090803252,0.005215752910226306,1.3615182598835351,0.09703758062177836
5,-6,4.2959892271841726e-05,0.0065543796252461395,0.004800007341107845,1.0167483765780847,0.15780759573805925
