,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,3.9587941336725676e-05,0.006291894892377469,0.004902162485862301,1.3228619972048263,0.22391184588675128
1,-2,2.7716751580655225e-05,0.005264670130279316,0.004268599033163545,1.225030301415822,0.4566364947022191
2,-3,3.2811085021538104e-05,0.005728096107917368,0.00401456593812869,1.123556748907915,0.35676639024431456
3,-4,5.943385099540695e-05,0.007709335314760084,0.006017002023454116,1.5796239158147796,-0.1651504512076336
4,-5,9.162303168823289e-05,0.009571992043886837,0.007973446323395512,2.362687910948035,-0.7961921518564541
5,-6,0.00010880769741301505,0.010431092819691283,0.009031986611296778,2.8122671765069898,-1.133083009301139
