,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,1.98145948238894e-05,0.004451358761534438,0.0037276002426665272,1.3733651068308474,0.6115516037933444
1,-2,2.3191382471281133e-05,0.004815743189922105,0.00398072621283257,1.7719949548408034,0.5453525339855525
2,-3,2.9681928307519317e-05,0.005448112361866201,0.004202875459254344,1.3131645498210405,0.4181108647512777
3,-4,3.6262186141249197e-05,0.006021809208306852,0.004638661857793961,1.4037715932615125,0.2891104675765188
4,-5,4.031982544476568e-05,0.006349789401607402,0.004813465339189254,1.55452182459661,0.20956387609457994
5,-6,4.4921463974235055e-05,0.006702347646476946,0.005052491796530419,1.413338231974813,0.11935263924708006
