,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,4.5951160680838454e-05,0.006778728544560436,0.005171880723947919,1.6284797592460447,0.09916630499122503
1,-2,5.495089332256902e-05,0.007412886976244075,0.0057482159288326454,1.7231183914717048,-0.07726585231708727
2,-3,6.168107903006627e-05,0.00785373026211534,0.006181634809850837,1.723853688548913,-0.20920545882866248
3,-4,6.636296759665121e-05,0.008146346886589793,0.006469670034969747,1.6978516039069773,-0.30098992987500073
4,-5,6.968075223619407e-05,0.008347499759580355,0.006639088222402418,1.6558399688173215,-0.36603229554758454
5,-6,7.186573827431663e-05,0.00847736623452807,0.006755678915640373,1.6040884389323293,-0.4088671013958145
