,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,8.966705204276163e-05,0.009469268823027554,0.007975328695051395,2.4357871397953557,-0.7578468229184063
1,-2,0.00011210417288747666,0.010587925806666605,0.009068108918526725,2.907862410510828,-1.1977076267899278
2,-3,0.00011893529277950504,0.01090574586076097,0.009228854033412106,3.071525337353747,-1.331625962740688
3,-4,0.00011688601461389468,0.010811383566125784,0.009254920682763412,3.195062588264732,-1.2914515951148142
4,-5,0.0001160961219360719,0.010774791039090823,0.009333034317123628,3.3661595485804265,-1.275966416305823
5,-6,0.00012090943940924958,0.01099588283901068,0.009509386206226884,3.5180366434117634,-1.3703274400616614
