,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,4.838824767511864e-05,0.006956166162126853,0.005826499543791362,1.9724451025102134,0.0513892728208335
1,-2,5.2118689673079955e-05,0.007219327508368072,0.005917449892844734,1.8367263800650389,-0.021742891835036415
2,-3,5.589543407033936e-05,0.0074763249040112854,0.005948134843869639,1.7483101344793062,-0.09578277592235152
3,-4,5.923540463730744e-05,0.007696454030091224,0.006074018957643505,1.7302501582826297,-0.16126007796397435
4,-5,6.213401686239826e-05,0.007882513359481116,0.006148155346643837,1.629437239470859,-0.21808492248232025
5,-6,6.77989484207272e-05,0.008234011684514857,0.006400094873655754,1.6880280658176048,-0.32914112110820803
