,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,6.81117268137642e-05,0.008252982904002905,0.006843052216739119,2.197777245358671,-0.33527287733250555
1,-2,9.64300536739472e-05,0.009819880532569996,0.008515789839400956,2.675587663224332,-0.890429757897713
2,-3,0.00010931471804748465,0.010455367905888566,0.008937895907150384,2.9209080340584,-1.1430227206126187
3,-4,0.00010707590393593235,0.010347748737572455,0.008738388747402997,2.9558086240808583,-1.0991326608477419
4,-5,0.00010401569728270368,0.010198808620750939,0.008705259364274793,3.0340724050196988,-1.0391398940476648
5,-6,0.00010619394444834439,0.010305044611662017,0.008803392613893839,3.0617354272140673,-1.0818425899925086
