,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,0.00010978888144816894,0.010478018965824072,0.008145570670387662,2.2372614143537475,-1.1523182936068057
1,-2,0.00011323931108439974,0.010641396105981572,0.008117745405031518,2.1411460360064964,-1.2199610524081024
2,-3,0.00011837989778586282,0.010880252652666794,0.008345948721299512,2.2628681574164853,-1.3207379129743901
3,-4,0.0001220803008314736,0.011048995467076344,0.008479982399712475,2.68006841574488,-1.3932811893401893
4,-5,0.0001276207681525687,0.011296936228578469,0.009234140497577962,3.0751575236966517,-1.5018973717170296
5,-6,0.00012835600213232504,0.011329430794718905,0.00939517977871989,2.9148798959183333,-1.5163110129149135
