,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,0.00011074222737223645,0.010523413294755483,0.008662341774987984,2.746654344225209,-1.1710078352565647
1,-2,0.00011957440748562494,0.010935008344104038,0.009250481484452585,3.0616296037910886,-1.3441552667608256
2,-3,0.00011555316889385522,0.010749565986301736,0.009127303430996044,3.044648217395186,-1.2653222804888085
3,-4,0.00011085743015236222,0.01052888551330872,0.009162962850125763,3.0675606480038455,-1.1732662884611917
4,-5,0.00011159246153279778,0.01056373331416492,0.009332089080137785,3.288403349299165,-1.187675957870506
5,-6,0.00011814287550344988,0.01086935487981922,0.009550869337383758,3.573611129282333,-1.3160912913156149
