,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,4.108008939393698e-05,0.0064093751172744585,0.004831704038724952,1.4995857748928985,0.19465954348651293
1,-2,5.2323224323301186e-05,0.007233479406433752,0.005595925824136313,1.6670651837863018,-0.02575262090359809
2,-3,6.018892318586108e-05,0.007758152047096079,0.006093250897217659,1.6817565196728919,-0.179953003770986
3,-4,6.466840879351899e-05,0.008041667040702381,0.006428262586645947,1.6624946442167545,-0.26776953575616824
4,-5,6.74745807991739e-05,0.008214291253612444,0.006622121702667188,1.6278645550244593,-0.3227821678470577
5,-6,6.972634556069412e-05,0.008350230269920352,0.006750819600614284,1.5898867802714853,-0.36692611416649545
