,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,8.247788953641595e-05,0.009081733839769582,0.007032215439838229,2.1242594998066453,-0.6169093639151022
1,-2,0.00010847459076054914,0.010415113574059052,0.008918805791050506,2.809001049790183,-1.1265527347198923
2,-3,0.00011601952769592578,0.01077123612664423,0.009348457650969278,3.006368076298325,-1.2744648509189012
3,-4,0.00011405879297292846,0.010679831130356345,0.009090603193452266,2.9540634930354246,-1.2360263027020721
4,-5,0.00011134944489307868,0.010552224641897968,0.009123655282323803,2.926183257518593,-1.18291182189955
5,-6,0.00011172565649264607,0.010570035784832807,0.009256017790712877,3.123870745014842,-1.190287132562481
