,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,9.600996547176974e-06,0.003098547489901837,0.002541565500079303,1.1005306467584859,0.8117805716501412
1,-2,1.1812022072063754e-05,0.0034368622422296406,0.0028638641710513777,1.2560469718702374,0.7684352836567296
2,-3,1.7655544125436382e-05,0.004201850083646058,0.003116008736606034,1.6109505404678095,0.6538779692122214
3,-4,2.6354686173699358e-05,0.005133681541905318,0.004220133644279506,1.8883765083459276,0.48333863661140786
4,-5,3.722897053429614e-05,0.006101554763689018,0.005008776969795781,1.79867099599753,0.2701574760924872
5,-6,4.544744653165008e-05,0.006741472133862906,0.00537137167056829,1.7990278627166671,0.10904119545140845
