,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,6.326797439462379e-05,0.00795411682052909,0.006516661500202424,1.7488168279163099,-0.2403152021662831
1,-2,6.670096708100971e-05,0.00816706600199911,0.006655284404015154,1.684355194243483,-0.3076161242930384
2,-3,6.875066290321801e-05,0.008291601950360257,0.006690921312757139,1.6012048898523876,-0.34779867972376377
3,-4,6.983762874730029e-05,0.008356891093421063,0.006637914344342022,1.492321037232736,-0.369107727050642
4,-5,7.042857349295645e-05,0.00839217334740867,0.0066309549538031065,1.4730947664674126,-0.3806926996800155
5,-6,7.055507600971045e-05,0.008399706900226367,0.006694769876890718,1.5862960879316748,-0.3831726746775337
