,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,8.718909661819918e-05,0.009337510193740042,0.00801105083760848,2.552779265082795,-0.7092685996896195
1,-2,0.0001120766730700365,0.010586627086567114,0.009129563241189052,2.972370066642136,-1.1971685160952328
2,-3,0.000116980020415641,0.010815730230346956,0.009145004571078726,3.0572776059188955,-1.293294499461183
3,-4,0.00011135815676457567,0.010552637431683876,0.009033266999520622,3.14116735032985,-1.1830826107822419
4,-5,0.00010896102602650767,0.010438439827220716,0.009058377867821503,3.317715104155089,-1.13608888726802
5,-6,0.00011527706010896777,0.010736715517744138,0.009317776336435817,3.5184662758296383,-1.2599094009613006
