,lag,MSE,RMSE,MAE,MAPE,R2
0,-1,7.281317356149532e-05,0.008533063550770926,0.0070479735959892206,1.6783492489757792,-0.4274407700014644
1,-2,7.524734611620875e-05,0.008674522817781319,0.0070740626691484084,1.6805264056301572,-0.4751606670456723
2,-3,7.594586642173994e-05,0.008714692560368378,0.0070938955921845065,1.7700501697817852,-0.4888545676685725
3,-4,7.387287327747026e-05,0.008594933000173431,0.006983601605673772,1.8418100280956853,-0.4482152879156449
4,-5,7.162321517998174e-05,0.008463049992761578,0.006838430546974966,1.8570134631981696,-0.40411264096526955
5,-6,7.096181128693711e-05,0.00842388338516964,0.006670544231491618,1.976374216166805,-0.39114637626081694
