,n_estimators,max_depths,MSE,RMSE,MAE,MAPE,R2
0,10,5,1.2125429732702756e-05,0.003482158774769289,0.0028390607872994748,1.1894225049803984,0.7622911911725713
0,10,10,1.1165805984052583e-05,0.0033415274926375488,0.0027253155289803845,1.111336185756393,0.7811038042710514
0,10,15,1.1165805984052583e-05,0.0033415274926375488,0.0027253155289803845,1.111336185756393,0.7811038042710514
0,10,20,1.1165805984052583e-05,0.0033415274926375488,0.0027253155289803845,1.111336185756393,0.7811038042710514
0,10,25,1.1165805984052583e-05,0.0033415274926375488,0.0027253155289803845,1.111336185756393,0.7811038042710514
0,20,5,1.2167663637229648e-05,0.003488217831103678,0.00281135107337551,1.1946544766004308,0.7614632311448832
0,20,10,1.1018949311910702e-05,0.0033194802773793826,0.0027243747965355275,1.1315003858046189,0.7839828052939228
0,20,15,1.1018949311910702e-05,0.0033194802773793826,0.0027243747965355275,1.1315003858046189,0.7839828052939228
0,20,20,1.1018949311910702e-05,0.0033194802773793826,0.0027243747965355275,1.1315003858046189,0.7839828052939228
0,20,25,1.1018949311910702e-05,0.0033194802773793826,0.0027243747965355275,1.1315003858046189,0.7839828052939228
0,50,5,1.216656593665674e-05,0.003488060483514691,0.0028109589380652124,1.1945530445220038,0.7614847506375022
0,50,10,1.1016166861282666e-05,0.00331906114154028,0.0027235885934205908,1.1312558422392298,0.7840373528884406
0,50,15,1.1016166861282666e-05,0.00331906114154028,0.0027235885934205908,1.1312558422392298,0.7840373528884406
0,50,20,1.1016166861282666e-05,0.00331906114154028,0.0027235885934205908,1.1312558422392298,0.7840373528884406
0,50,25,1.1016166861282666e-05,0.00331906114154028,0.0027235885934205908,1.1312558422392298,0.7840373528884406
0,100,5,1.2166563452789743e-05,0.003488060127461931,0.002810958759561719,1.1945528361843207,0.7614847993316168
0,100,10,1.1016165001209401e-05,0.003319060861329512,0.0027235883838730114,1.1312557587683603,0.7840373893536059
0,100,15,1.1016165001209401e-05,0.003319060861329512,0.0027235883838730114,1.1312557587683603,0.7840373893536059
0,100,20,1.1016165001209401e-05,0.003319060861329512,0.0027235883838730114,1.1312557587683603,0.7840373893536059
0,100,25,1.1016165001209401e-05,0.003319060861329512,0.0027235883838730114,1.1312557587683603,0.7840373893536059
0,200,5,1.2166563452789743e-05,0.003488060127461931,0.002810958759561719,1.1945528361843207,0.7614847993316168
0,200,10,1.101616419773094e-05,0.0033190607402894786,0.0027235882994719033,1.1312557519102184,0.7840374051051224
0,200,15,1.101616419773094e-05,0.0033190607402894786,0.0027235882994719033,1.1312557519102184,0.7840374051051224
0,200,20,1.101616419773094e-05,0.0033190607402894786,0.0027235882994719033,1.1312557519102184,0.7840374051051224
0,200,25,1.101616419773094e-05,0.0033190607402894786,0.0027235882994719033,1.1312557519102184,0.7840374051051224
