,n_estimators,max_depths,MSE,RMSE,MAE,MAPE,R2
0,10,5,4.607629777548216e-05,0.006787952399323537,0.005345284797122703,1.2567865997865533,0.09671309794095007
0,10,10,4.570381060379375e-05,0.006760459348579336,0.005436595463243136,1.2031391955115158,0.10401539434094853
0,10,15,4.570381060379375e-05,0.006760459348579336,0.005436595463243136,1.2031391955115158,0.10401539434094853
0,10,20,4.570381060379375e-05,0.006760459348579336,0.005436595463243136,1.2031391955115158,0.10401539434094853
0,10,25,4.570381060379375e-05,0.006760459348579336,0.005436595463243136,1.2031391955115158,0.10401539434094853
0,20,5,4.3198206446060404e-05,0.006572534248374853,0.005112464216063087,1.2655037392446016,0.15313564763155796
0,20,10,4.3303016493628114e-05,0.006580502753865248,0.005324267899065257,1.2316831222835398,0.15108093517107746
0,20,15,4.3303016493628114e-05,0.006580502753865248,0.005324267899065257,1.2316831222835398,0.15108093517107746
0,20,20,4.3303016493628114e-05,0.006580502753865248,0.005324267899065257,1.2316831222835398,0.15108093517107746
0,20,25,4.3303016493628114e-05,0.006580502753865248,0.005324267899065257,1.2316831222835398,0.15108093517107746
0,50,5,4.304885753806858e-05,0.006561162819048814,0.005105637642933965,1.2639010291564146,0.15606350683333658
0,50,10,4.329913613262297e-05,0.006580207909528617,0.0053239894709653625,1.2317515230221876,0.15115700637124818
0,50,15,4.329913613262297e-05,0.006580207909528617,0.0053239894709653625,1.2317515230221876,0.15115700637124818
0,50,20,4.329913613262297e-05,0.006580207909528617,0.0053239894709653625,1.2317515230221876,0.15115700637124818
0,50,25,4.329913613262297e-05,0.006580207909528617,0.0053239894709653625,1.2317515230221876,0.15115700637124818
0,100,5,4.304885934170132e-05,0.006561162956496456,0.005105637815616693,1.263901551168254,0.15606347147464006
0,100,10,4.329912846642514e-05,0.006580207327009168,0.005323988928178924,1.2317518594006187,0.15115715666058172
0,100,15,4.329912846642514e-05,0.006580207327009168,0.005323988928178924,1.2317518594006187,0.15115715666058172
0,100,20,4.329912846642514e-05,0.006580207327009168,0.005323988928178924,1.2317518594006187,0.15115715666058172
0,100,25,4.329912846642514e-05,0.006580207327009168,0.005323988928178924,1.2317518594006187,0.15115715666058172
0,200,5,4.304885894491737e-05,0.006561162926259138,0.005105637718603924,1.2639015108113898,0.15606347925325426
0,200,10,4.329912932414921e-05,0.0065802073921837154,0.005323989055265651,1.231751898771981,0.15115713984562584
0,200,15,4.329912932414921e-05,0.0065802073921837154,0.005323989055265651,1.231751898771981,0.15115713984562584
0,200,20,4.329912932414921e-05,0.0065802073921837154,0.005323989055265651,1.231751898771981,0.15115713984562584
0,200,25,4.329912932414921e-05,0.0065802073921837154,0.005323989055265651,1.231751898771981,0.15115713984562584
