,n_estimators,max_samples,MSE,RMSE,MAE,MAPE,R2
0,10,0.5,1.7672759613691704e-05,0.004203898145018705,0.003253788969575293,1.313495993784339,0.6535404741050981
0,10,0.6,1.4331775955494541e-05,0.0037857332124034493,0.0029673687259324094,1.1440785264362823,0.7190376369446151
0,10,0.7,1.2836652723179284e-05,0.003582827476055648,0.0028838073803560123,1.0920452863928956,0.7483482651399471
0,10,0.8,1.2642919029271842e-05,0.0035556882637925165,0.0028584942947051076,1.0822810015019277,0.7521462505824152
0,10,0.9,1.2383665065025334e-05,0.003519043203063204,0.0028710570826338687,1.041598350104073,0.7572287055867617
0,20,0.5,1.671766263599538e-05,0.004088723839536657,0.0033829652955756407,1.2295147328899132,0.6722643436823179
0,20,0.6,1.5008610586192781e-05,0.0038740948086221096,0.0031667296022745662,1.1366185449078652,0.7057688656611936
0,20,0.7,1.4723329582603213e-05,0.0038370991103440647,0.0031811853806559824,1.1218950124256326,0.711361558789543
0,20,0.8,1.4631527532087487e-05,0.0038251179762312545,0.003173983607204402,1.136031457686992,0.7131612604543138
0,20,0.9,1.3999912955350442e-05,0.00374164575492529,0.0031120777067281365,1.0907960702887296,0.7255435307724758
0,50,0.5,1.5067847846146514e-05,0.0038817325830286806,0.0031954582792761187,1.0891137573053336,0.7046075692113181
0,50,0.6,1.5009116982130025e-05,0.0038741601647492617,0.0031972386036958015,1.0970889569138864,0.7057589381965437
0,50,0.7,1.504774378709597e-05,0.003879142145770888,0.003222096160708353,1.121244727536676,0.7050016923092082
0,50,0.8,1.361389868824388e-05,0.00368970170721752,0.003080448498807011,1.0561321841999947,0.7331110144532246
0,50,0.9,1.3037902874594498e-05,0.003610803632793467,0.0030163057573448213,1.021023301453247,0.7444029258964044
0,100,0.5,1.4234825500314528e-05,0.003772906770689481,0.003146131841885223,1.1139780764090474,0.7209382687345105
0,100,0.6,1.4169825530232167e-05,0.003764282870645107,0.0031298457764004353,1.1229703482187208,0.7222125382492992
0,100,0.7,1.3975867359660185e-05,0.0037384311361398897,0.0031267741421272407,1.1040968998253102,0.7260149243671838
0,100,0.8,1.3118760100152941e-05,0.003621982896170679,0.0030332733831395,1.0540831810078242,0.7428177882809722
0,100,0.9,1.286732046411267e-05,0.003587104746743907,0.0029995391717376777,1.038472622584075,0.747747049980781
0,200,0.5,1.4390215068044194e-05,0.0037934436951198042,0.003125222293891157,1.0677918831988065,0.7178919875004849
0,200,0.6,1.4141260320678986e-05,0.0037604867132698377,0.0031321306968022143,1.128390026533661,0.7227725350565446
0,200,0.7,1.3533899133914676e-05,0.0036788448097078894,0.003074761476582351,1.0869772939313085,0.7346793381485928
0,200,0.8,1.3079125145850247e-05,0.0036165073131199732,0.003021151024968786,1.0560269598435381,0.7435947980845763
0,200,0.9,1.3252330414132777e-05,0.003640375037565879,0.0030324644188682273,1.0502906216563082,0.7401992550882707
