,n_estimators,max_samples,MSE,RMSE,MAE,MAPE,R2
0,10,0.5,1.714345437995599e-05,0.004140465478657682,0.0030835484027128017,0.8922548144097612,0.6639170561637198
0,10,0.6,2.152187815681804e-05,0.004639167830205978,0.0035811924506036065,1.2718571300516512,0.5780817560149325
0,10,0.7,1.7296733217009685e-05,0.0041589341443463235,0.0031834331270041575,1.1537813229480074,0.6609121540218832
0,10,0.8,1.5363687152567775e-05,0.003919653958268226,0.0030533320594708507,1.1690738288383404,0.6988078894734474
0,10,0.9,1.596562439265643e-05,0.003995700738626009,0.003083121110767218,1.134399378595938,0.6870074182749351
0,20,0.5,2.0336921963702133e-05,0.0045096476540526014,0.00347826866774462,1.1178696817497016,0.6013118213724167
0,20,0.6,2.1297986211760876e-05,0.004614974129045674,0.0035048893329570332,1.2137810372625333,0.5824709684996707
0,20,0.7,1.9233950838931157e-05,0.004385652840676192,0.003283675019741098,1.1732172224011814,0.6229346387092103
0,20,0.8,1.7571633804269815e-05,0.0041918532660709645,0.003181363429235542,1.1855731317275866,0.6555229601884205
0,20,0.9,1.7763725651098373e-05,0.004214703506902754,0.0031739496430065847,1.1707237867208906,0.6517571617712374
0,50,0.5,2.103203686660801e-05,0.004586069871535758,0.0033928415016334494,1.139330810485908,0.5876846807917984
0,50,0.6,2.130034318278928e-05,0.004615229483220664,0.003443655892466153,1.1968934680508683,0.5824247620733458
0,50,0.7,2.0327828145901065e-05,0.0045086392787515245,0.003338856558434616,1.2136251469980073,0.6014900979898099
0,50,0.8,1.851999828270967e-05,0.004303486758746873,0.0032324876939802973,1.1942521645883193,0.6369310755728859
0,50,0.9,1.773243631526876e-05,0.004210989944807368,0.0031570291636525004,1.1682088711796774,0.6523705627733477
0,100,0.5,2.024193362709872e-05,0.004499103647072239,0.0032569211458291494,1.2131317407233864,0.6031739874848142
0,100,0.6,2.0401982776196893e-05,0.00451685540793558,0.0032954267665262073,1.197669637899328,0.60003635909352
0,100,0.7,1.9598122450855717e-05,0.004426976671596058,0.0032507895069915026,1.1794519643839283,0.6157953618350986
0,100,0.8,1.848916798219001e-05,0.004299903252654646,0.0031874102421346343,1.173252485766657,0.6375354775754436
0,100,0.9,1.7863312283423524e-05,0.0042265011869658245,0.0031547085071434986,1.1715122519111192,0.6498048499549146
0,200,0.5,2.1556960284022908e-05,0.0046429473703697,0.0033202252656866285,1.2781608554666817,0.5773940005412845
0,200,0.6,2.0844820397332075e-05,0.004565612817282262,0.0033076877392297704,1.232102881601788,0.5913549015497838
0,200,0.7,1.9734235355455164e-05,0.004442323193494049,0.003243515831707259,1.2032347184868901,0.6131269833007599
0,200,0.8,1.8585184296422042e-05,0.004311053733882476,0.0031845603715802678,1.195731650261912,0.6356531588298622
0,200,0.9,1.8336667541829344e-05,0.0042821335268566005,0.0031863197430185212,1.192015109563211,0.6405251199075437
