,hidden_units,num_layers,sequence_lengths,MSE,RMSE,MAE,MAPE,R2
0,10,1,12,1.4786524190692123e-05,0.0038453249785541043,0.002615627691425389,1.1210023259219712,0.7101226818718354
0,10,1,18,1.4412113576896464e-05,0.0037963289605744736,0.0027621072712320843,0.9959710070429841,0.7174626857298161
0,10,1,24,1.7232466735531802e-05,0.004151200637831398,0.0027897486396978493,1.2103001322847327,0.6621720441120822
0,10,2,12,1.5446713970318577e-05,0.0039302307782519055,0.002844035626162925,0.9218094045690503,0.6971802188355115
0,10,2,18,1.4332164922371269e-05,0.003785784584781769,0.0028512216244725307,1.1244716717468408,0.7190300115775164
0,10,2,24,1.5925151476488397e-05,0.003990632966897407,0.002719963122027596,1.1232602885413452,0.6878008556131705
0,10,3,12,1.621460901629747e-05,0.004026736770177245,0.003040747617775227,1.0588240926349437,0.682126285019721
0,10,3,18,1.3236639873228295e-05,0.0036382193272572637,0.0026735811899612325,1.0176021690951147,0.7405068548905442
0,10,3,24,1.651222147535019e-05,0.00406352328347583,0.002804070768644877,1.0011453131589179,0.6762918441221072
0,12,1,12,1.4098103084387492e-05,0.0037547440770826835,0.002778287636031211,1.0602995934431314,0.7236185962236361
0,12,1,18,1.2518299296299674e-05,0.0035381208707871577,0.0026266752535664514,0.8372485594056739,0.754589315194081
0,12,1,24,1.3679808641831768e-05,0.0036986225330292583,0.0026273373756997495,1.0285679348723755,0.7318189054803779
0,12,2,12,1.0152598146590008e-05,0.0031863141945812578,0.0023659595175695145,0.8551808903495852,0.8009668881738237
0,12,2,18,1.3158471899628237e-05,0.0036274608060774738,0.0026547141559127266,0.9540723573511157,0.7420392719926623
0,12,2,24,1.0680964037147043e-05,0.0032681744196335428,0.0024393996252739447,0.9895365479289818,0.7906087211448551
0,12,3,12,1.1795369671885803e-05,0.0034344387710200635,0.0024793519751329833,0.981487672352324,0.7687617398976777
0,12,3,18,1.3919482455827787e-05,0.003730882262391536,0.0027604983667306056,1.080044081703426,0.7271203027843873
0,12,3,24,1.3355911543199319e-05,0.003654574057698013,0.0026336952349275953,1.0310334316396659,0.7381686345370666
0,14,1,12,1.4386113083026645e-05,0.0037929029888762837,0.002725890908454537,1.037375736009722,0.7179724034522362
0,14,1,18,1.2264936458017098e-05,0.0035021331296821224,0.00261534301591391,1.072448260696594,0.7595562796495225
0,14,1,24,1.1415941635336434e-05,0.0033787485309410693,0.0025978907348512053,0.9935775624058821,0.7762001060910527
0,14,2,12,1.3926768360881436e-05,0.0037318585665699383,0.002812502131064979,1.0052435817257483,0.7269774687694526
0,14,2,18,1.0603582680927893e-05,0.003256314278586742,0.0023140877314045297,0.91359092949175,0.7921257172775938
0,14,2,24,1.2805672258935185e-05,0.0035785013984816583,0.002701434497005786,1.0392264738160997,0.7489556109754949
0,14,3,12,1.1438590784193526e-05,0.0033820985769479764,0.0025134724583465826,0.9534491257721776,0.7757560886570765
0,14,3,18,1.2770333280889379e-05,0.003573560308836186,0.0025267512255631006,1.0277779445771484,0.7496484017929446
0,14,3,24,1.2835666358513295e-05,0.003582689821700072,0.0025969790365446763,0.9969798895586349,0.7483676019861447
